dataset,split,Gaussian Process,XGBoost,FFNN,gp_rmse,xgb_rmse,ffnn_rmse
COX-2,SCAF_06,0.2764673584539147,0.17674700825538925,0.17666373349702957,1.0245489625310376,1.0928745494293308,1.092929821966199
COX-2,SCAF_07,0.3044664269530314,0.09411271875081373,0.12624595234165692,0.9125778465284561,1.0414728523125538,1.0228347468282086
COX-2,SCAF_08,0.29742939582801875,0.21648921847347113,0.19711862664305646,0.9472759642011764,1.0003547045704617,1.0126449976722376
COX-2,SCAF_09,0.2473070102268159,0.1723339603961378,0.12022883071913859,0.998306853235764,1.0468457272084897,1.0792945392846856
Cannabinoid,RND_00,0.6780814627732513,0.6145525917739765,0.5907491302806493,0.6681609206375,0.7311233312614194,0.7533605660777895
Cannabinoid,RND_01,0.7296943508985465,0.6605758068329535,0.658110104958431,0.6895194279405762,0.7726634048232844,0.7754647817041003
Cannabinoid,RND_02,0.6163752021642561,0.5114018940753126,0.5245438776703455,0.6841644015903473,0.7721168433847958,0.7616621231220637
Cannabinoid,RND_03,0.6236337434761194,0.494541798410829,0.43496491687988803,0.7438300069193802,0.8620073690467822,0.9113937827273336
Cannabinoid,RND_04,0.6437655804009075,0.47465798748269006,0.5091738364214724,0.6814506896844799,0.8275372706721575,0.7998901490829217
Cannabinoid,RND_05,0.6511576508246089,0.5431810692121999,0.582419835289995,0.7055108841465487,0.8073487243471988,0.7718964570334674
Cannabinoid,RND_06,0.6933528666932667,0.618258791321719,0.5676742002482281,0.6304831830877007,0.7034586507259031,0.7486169039382401
Cannabinoid,RND_07,0.6579297225123382,0.5901838936618085,0.6187166824328022,0.724318655006935,0.792805240348067,0.7647084737731076
Cannabinoid,RND_08,0.6609602269456684,0.6483339535546442,0.6413123943203969,0.7368712670366672,0.7504668575145657,0.7579219469794767
Cannabinoid,RND_09,0.6532044218867167,0.5898382383297693,0.5859338980573738,0.7257502191758022,0.7892743421047457,0.7930220059994733
Cannabinoid,SCAF_00,0.49044564131061275,0.4773677684586055,0.444544985329714,0.8373922297347746,0.8480701183934909,0.8742952366125671
Cannabinoid,SCAF_01,0.6409580723048358,0.5256022659378324,0.5620772062892619,0.7311523740695242,0.840439806308207,0.8074842986573234
Cannabinoid,SCAF_02,0.5752368241044999,0.5567169032181373,0.5317019291104749,0.8774289759261735,0.8963531070538794,0.9212971485962532
Cannabinoid,SCAF_03,0.4414041695191422,0.3127685181090045,0.28797757820947956,0.7983673830354232,0.8855344555889735,0.9013651773062891
Cannabinoid,SCAF_04,0.5305781761975548,0.4998309443874107,0.4079397403535463,0.7582619740481493,0.7827012882602429,0.8515704732249191
Cannabinoid,SCAF_05,0.52623188737444,0.3989380994637882,0.36596069913253215,0.8029306083065925,0.9043878112627499,0.9288662637387916
Cannabinoid,SCAF_06,0.5437427624151914,0.49353208515617564,0.5115877018280268,0.8320388106203909,0.876626651309182,0.8608589452522243
Cannabinoid,SCAF_07,0.5221872180822169,0.44674136866656644,0.428041814425968,0.8638402335701473,0.9295412024889236,0.9451194173419275
Cannabinoid,SCAF_08,0.5364086685171101,0.4636693180360154,0.5458463688518334,0.831961125214879,0.8948530063917768,0.8234491313396335
Cannabinoid,SCAF_09,0.5236372713570386,0.4633856703563045,0.5338596558681903,0.8517092519704057,0.9039691526289229,0.842521173583279
Carbonic,RND_00,0.8139230755511034,0.7694051478251858,0.7812956190999717,0.6039782600294261,0.6723568764369033,0.654792638594222
Carbonic,RND_01,0.8250513203041362,0.7615431866044156,0.789910263931886,0.5425124976688193,0.6333726131467093,0.5945068054031124
Carbonic,RND_02,0.7480484328571346,0.6686777978739781,0.7017810268957686,0.6204247927818309,0.7114688363306644,0.674991412364231
Carbonic,RND_03,0.781050853191368,0.6875208426961559,0.7060394331315243,0.6324407247712206,0.7555422001094284,0.7328122780543559
Carbonic,RND_04,0.8753274595307199,0.8515412168975336,0.8477429175607623,0.4837234386553044,0.5278550429995739,0.5345649485526252
Carbonic,RND_05,0.8186854462293532,0.7812769654830679,0.7733510689268077,0.5632959410226823,0.6186820991186108,0.6297919811565381
